seniority,member,party_state,start_date
,Marcy Kaptur,"(D), OH",01-03-1983
,Louise Slaughter,"(D), NY",01-03-1987
,Nancy Pelosi,"(D), CA",06-02-1987
,Nita Lowey,"(D), NY",01-03-1989
,Ileana Ros-Lehtinen,"(R), FL",08-29-1989
,Rosa DeLauro,"(D), CT",01-03-1991
,Eleanor Holmes-Norton (delegate),"(D), DC",01-03-1991
,Maxine Waters,"(D), CA",01-03-1991
,Anna Eshoo,"(D), CA",01-03-1993
,Eddie Bernice-Johnson,"(D), TX",01-03-1993
,Carolyn Maloney,"(D), NY",01-03-1993
,Lucille Roybal-Allard,"(D), CA",01-03-1993
,Nydia Velazquez,"(D), NY",01-03-1993
,Sheila Jackson Lee,"(D), TX",01-03-1995
,Zoe Lofgren,"(D), CA",01-03-1995
,Diana DeGette,"(D), CO",01-03-1997
,Kay Granger,"(R), TX",01-03-1997
,Barbara Lee,"(D), CA",04-07-1998
,Grace Napolitano,"(D), CA",01-03-1999
,Jan Schakowsky,"(D), IL",01-03-1999
,Susan Davis,"(D), CA",01-03-2001
,Betty McCollum,"(D), MN",01-03-2001
,Marsha Blackburn,"(R), TN",01-03-2003
,Madeleine Bordallo (delegate),"(D), GU",01-03-2003
,Linda Sanchez,"(D), CA",01-03-2003
,Virginia Foxx,"(R), NC",01-03-2005
,Cathy McMorris-Rodgers,"(R), WA",01-03-2005
,Gwen Moore,"(D), WI",01-03-2005
,Debbie Wasserman-Schultz,"(D), FL",01-03-2005
,Doris Matsui,"(D), CA",03-08-2005
,Kathy Castor,"(D), FL",01-04-2007
,Yvette Clarke,"(D), NY",01-04-2007
,Niki Tsongas,"(D), MA",10-18-2007
,Jackie Speier,"(D), CA",04-10-2008
,Marcia Fudge,"(D), OH",11-19-2008
,Lynn Jenkins,"(R), KS",01-06-2009
,Chellie Pingree,"(D), ME",01-06-2009
,Judy Chu,"(D), CA",07-16-2009
,Karen Bass,"(D), CA",01-05-2011
,Diane Black,"(R), TN",01-05-2011
,Vicky Hartzler,"(R), MO",01-05-2011
,Jaime Herrera-Beutler,"(R), WA",01-05-2011
,Kristi Noem,"(R), SD",01-05-2011
,Martha Roby,"(R), AL",01-05-2011
,Terri Sewell,"(D), AL",01-05-2011
,Frederica Wilson,"(D), FL",01-05-2011
,Suzanne Bonamici,"(D), OR",02-07-2012
,Suzan DelBene,"(D), WA",11-13-2012
,Joyce Beatty,"(D), OH",01-03-2013
,Susan Brooks,"(R), IN",01-03-2013
,Julia Brownley,"(D), CA",01-03-2013
,Cheri Bustos,"(D), IL",01-03-2013
,Elizabeth Esty,"(D), CT",01-03-2013
,Lois Frankel,"(D), FL",01-03-2013
,Tulsi Gabbard,"(D), HI",01-03-2013
,Michelle Lujan Grisham,"(D), NM",01-03-2013
,Ann McLane Kuster,"(D), NH",01-03-2013
,Grace Meng,"(D), NY",01-03-2013
,Kyrsten Sinema,"(D), AZ",01-03-2013
,Dina Titus,"(D), NV",01-03-2013
,Ann Wagner,"(R), MO",01-03-2013
,Jackie Walorski,"(R), IN",01-03-2013
,Robin Kelly,"(D), IL",04-11-2013
,Katherine Clark,"(D), MA",12-12-2013
,Alma Adams,"(D), NC",11-12-2014
,Bonnie Watson Coleman,"(D), NJ",01-06-2015
,Barbara Comstock,"(R), VA",01-06-2015
,Debbie Dingell,"(D), MI",01-06-2015
,Brenda Lawrence,"(D), MI",01-06-2015
,Mia Love,"(R), UT",01-06-2015
,Martha McSally,"(R), AZ",01-06-2015
,Stacey Plaskett (delegate),"(D), VI",01-06-2015
,Aumua Amata Radewagen (delegate),"(R), AS",01-06-2015
,Kathleen Rice,"(D), NY",01-06-2015
,Elise Stefanik,"(R), NY",01-06-2015
,Norma Torres,"(D), CA",01-06-2015
,Mimi Walters,"(R), CA",01-06-2015
,Colleen Hanabusa*,"(D), HI",tbd
,Nanette Barragan,"(D), CA",01-03-2017
,Liz Cheney,"(R), WY",01-03-2017
,Val Demings,"(D), FL",01-03-2017
,Jennifer Gonzalez (delegate),"(D), PR",01-03-2017
,Pramila Jayapal,"(D), WA",01-03-2017
,Stephanie Murphy,"(D), FL",01-03-2017
,Lisa Blunt Rochester,"(D), DE",01-03-2017
,Jacky Rosen,"(D), NV",01-03-2017
,Carol Shea-Porter *,"(D), NH",01-03-2017
,Claudia Tenney,"(R), NY",01-03-2017
